Symbol,Type
^TA125.TA,world-indices
^CASE30,world-indices
^JN0U.JO,world-indices
PM,sinful-stocks
BUD,sinful-stocks
DEO,sinful-stocks
MO,sinful-stocks
STZ,sinful-stocks
LVS,sinful-stocks
MGM,sinful-stocks
TAP,sinful-stocks
WYNN,sinful-stocks
BYD,sinful-stocks
SAM,sinful-stocks
PENN,sinful-stocks
RRR,sinful-stocks
RICK,sinful-stocks
JNJ,biotech-and-drug-stocks
LLY,biotech-and-drug-stocks
NVO,biotech-and-drug-stocks
MRK,biotech-and-drug-stocks
RHHBY,biotech-and-drug-stocks
ABBV,biotech-and-drug-stocks
AZN,biotech-and-drug-stocks
PFE,biotech-and-drug-stocks
NVS,biotech-and-drug-stocks
BMY,biotech-and-drug-stocks
SNY,biotech-and-drug-stocks
AMGN,biotech-and-drug-stocks
GILD,biotech-and-drug-stocks
VRTX,biotech-and-drug-stocks
REGN,biotech-and-drug-stocks
ZTS,biotech-and-drug-stocks
GSK,biotech-and-drug-stocks
DSNKY,biotech-and-drug-stocks
BAYRY,biotech-and-drug-stocks
TAK,biotech-and-drug-stocks
MRNA,biotech-and-drug-stocks
BIIB,biotech-and-drug-stocks
HLN,biotech-and-drug-stocks
SGEN,biotech-and-drug-stocks
BNTX,biotech-and-drug-stocks
GMAB,biotech-and-drug-stocks
ALNY,biotech-and-drug-stocks
HZNP,biotech-and-drug-stocks
ARGX,biotech-and-drug-stocks
BMRN,biotech-and-drug-stocks
AAPL,tech-stocks-that-move-the-market
MSFT,tech-stocks-that-move-the-market
GOOG,tech-stocks-that-move-the-market
AMZN,tech-stocks-that-move-the-market
NVDA,tech-stocks-that-move-the-market
TSLA,tech-stocks-that-move-the-market
META,tech-stocks-that-move-the-market
BABA,tech-stocks-that-move-the-market
CRM,tech-stocks-that-move-the-market
AMD,tech-stocks-that-move-the-market
INTC,tech-stocks-that-move-the-market
PYPL,tech-stocks-that-move-the-market
ATVI,tech-stocks-that-move-the-market
TTD,tech-stocks-that-move-the-market
EA,tech-stocks-that-move-the-market
MTCH,tech-stocks-that-move-the-market
ZG,tech-stocks-that-move-the-market
YELP,tech-stocks-that-move-the-market
AAPL,brands-consumers-love
GOOG,brands-consumers-love
AMZN,brands-consumers-love
TSLA,brands-consumers-love
META,brands-consumers-love
V,brands-consumers-love
JNJ,brands-consumers-love
MA,brands-consumers-love
KO,brands-consumers-love
NFLX,brands-consumers-love
DIS,brands-consumers-love
WFC,brands-consumers-love
SBUX,brands-consumers-love
PYPL,brands-consumers-love
CMG,brands-consumers-love
EA,brands-consumers-love
SAM,brands-consumers-love
JWN,brands-consumers-love
ORCL,women-at-the-helm
PEP,women-at-the-helm
AMD,women-at-the-helm
IBM,women-at-the-helm
LMT,women-at-the-helm
MDLZ,women-at-the-helm
TJX,women-at-the-helm
PGR,women-at-the-helm
DUK,women-at-the-helm
GD,women-at-the-helm
GM,women-at-the-helm
OXY,women-at-the-helm
SRE,women-at-the-helm
ROST,women-at-the-helm
HPQ,women-at-the-helm
VTR,women-at-the-helm
CMS,women-at-the-helm
CPB,women-at-the-helm
KEY,women-at-the-helm
TGNA,women-at-the-helm
SPGI,electronic-trading-stocks
CME,electronic-trading-stocks
MCO,electronic-trading-stocks
ICE,electronic-trading-stocks
LNSTY,electronic-trading-stocks
HKXCY,electronic-trading-stocks
MSCI,electronic-trading-stocks
DBOEY,electronic-trading-stocks
NDAQ,electronic-trading-stocks
FDS,electronic-trading-stocks
CBOE,electronic-trading-stocks
COIN,electronic-trading-stocks
MORN,electronic-trading-stocks
ASXFY,electronic-trading-stocks
DNB,electronic-trading-stocks
JNJ,dividend-growth-market-leaders
XOM,dividend-growth-market-leaders
KO,dividend-growth-market-leaders
MCD,dividend-growth-market-leaders
MDT,dividend-growth-market-leaders
SHW,dividend-growth-market-leaders
CTAS,dividend-growth-market-leaders
EMR,dividend-growth-market-leaders
AFL,dividend-growth-market-leaders
MKC,dividend-growth-market-leaders
JPM,bank-and-financial-services-stocks
BAC,bank-and-financial-services-stocks
WFC-PQ,bank-and-financial-services-stocks
WFC-PR,bank-and-financial-services-stocks
WFC,bank-and-financial-services-stocks
HSBC,bank-and-financial-services-stocks
MS,bank-and-financial-services-stocks
RY,bank-and-financial-services-stocks
HDB,bank-and-financial-services-stocks
GS,bank-and-financial-services-stocks
TD,bank-and-financial-services-stocks
SCHW,bank-and-financial-services-stocks
C,bank-and-financial-services-stocks
MUFG,bank-and-financial-services-stocks
IBN,bank-and-financial-services-stocks
BNPQY,bank-and-financial-services-stocks
UBS,bank-and-financial-services-stocks
BMO,bank-and-financial-services-stocks
BNS,bank-and-financial-services-stocks
ITUB,bank-and-financial-services-stocks
NABZY,bank-and-financial-services-stocks
SMFG,bank-and-financial-services-stocks
PNC,bank-and-financial-services-stocks
USB,bank-and-financial-services-stocks
ING,bank-and-financial-services-stocks
BSBR,bank-and-financial-services-stocks
BBVA,bank-and-financial-services-stocks
TFC,bank-and-financial-services-stocks
UNCRY,bank-and-financial-services-stocks
NU,bank-and-financial-services-stocks
XOM,oil-and-gas-stocks
CVX,oil-and-gas-stocks
SHEL,oil-and-gas-stocks
TTE,oil-and-gas-stocks
COP,oil-and-gas-stocks
BP,oil-and-gas-stocks
EQNR,oil-and-gas-stocks
PBR,oil-and-gas-stocks
PBR-A,oil-and-gas-stocks
ENB,oil-and-gas-stocks
SLB,oil-and-gas-stocks
EOG,oil-and-gas-stocks
CNQ,oil-and-gas-stocks
EPD,oil-and-gas-stocks
OXY,oil-and-gas-stocks
MPC,oil-and-gas-stocks
PXD,oil-and-gas-stocks
E,oil-and-gas-stocks
WDS,oil-and-gas-stocks
PSX,oil-and-gas-stocks
HES,oil-and-gas-stocks
VLO,oil-and-gas-stocks
TRP,oil-and-gas-stocks
ET,oil-and-gas-stocks
SU,oil-and-gas-stocks
KMI,oil-and-gas-stocks
WMB,oil-and-gas-stocks
LNG,oil-and-gas-stocks
MPLX,oil-and-gas-stocks
DVN,oil-and-gas-stocks
EURUSD=X,currencies
JPY=X,currencies
GBPUSD=X,currencies
AUDUSD=X,currencies
NZDUSD=X,currencies
EURJPY=X,currencies
GBPJPY=X,currencies
EURGBP=X,currencies
EURCAD=X,currencies
EURSEK=X,currencies
EURCHF=X,currencies
EURHUF=X,currencies
EURJPY=X,currencies
CNY=X,currencies
HKD=X,currencies
SGD=X,currencies
INR=X,currencies
MXN=X,currencies
PHP=X,currencies
IDR=X,currencies
THB=X,currencies
MYR=X,currencies
ZAR=X,currencies
RUB=X,currencies
ATVI,video-game-stocks
NTES,video-game-stocks
NTDOY,video-game-stocks
EA,video-game-stocks
RBLX,video-game-stocks
TTWO,video-game-stocks
BILI,video-game-stocks
OTGLY,video-game-stocks
PLTK,video-game-stocks
UBSFY,video-game-stocks
GDEV,video-game-stocks
MYPS,video-game-stocks
GRVY,video-game-stocks
SCPL,video-game-stocks
SOHU,video-game-stocks
GMGI,video-game-stocks
SNAL,video-game-stocks
GAME,video-game-stocks
MSGM,video-game-stocks
GDC,video-game-stocks
ES=F,commodities
YM=F,commodities
NQ=F,commodities
RTY=F,commodities
ZB=F,commodities
ZN=F,commodities
ZF=F,commodities
ZT=F,commodities
GC=F,commodities
MGC=F,commodities
SI=F,commodities
SIL=F,commodities
PL=F,commodities
HG=F,commodities
PA=F,commodities
CL=F,commodities
HO=F,commodities
NG=F,commodities
RB=F,commodities
BZ=F,commodities
B0=F,commodities
ZC=F,commodities
ZO=F,commodities
KE=F,commodities
ZR=F,commodities
ZM=F,commodities
ZL=F,commodities
ZS=F,commodities
GF=F,commodities
HE=F,commodities
LE=F,commodities
CC=F,commodities
KC=F,commodities
CT=F,commodities
LBS=F,commodities
OJ=F,commodities
SB=F,commodities
TCEHY,china-tech-and-internet-stocks
BABA,china-tech-and-internet-stocks
MPNGY,china-tech-and-internet-stocks
JD,china-tech-and-internet-stocks
BIDU,china-tech-and-internet-stocks
TME,china-tech-and-internet-stocks
VIPS,china-tech-and-internet-stocks
ATHM,china-tech-and-internet-stocks
WB,china-tech-and-internet-stocks
MOMO,china-tech-and-internet-stocks
DADA,china-tech-and-internet-stocks
JFIN,china-tech-and-internet-stocks
V,8-buffett-buys
PG,8-buffett-buys
KO,8-buffett-buys
WFC,8-buffett-buys
VZ,8-buffett-buys
AXP,8-buffett-buys
GM,8-buffett-buys
KMI,8-buffett-buys
CSCO,stocks-fueling-internet-of-things
SWKS,stocks-fueling-internet-of-things
AMBA,stocks-fueling-internet-of-things
UA,stocks-fueling-internet-of-things
NXP,stocks-fueling-internet-of-things
CAMP,stocks-fueling-internet-of-things
JNJ,the-fight-against-covid19
ABBV,the-fight-against-covid19
PFE,the-fight-against-covid19
SNY,the-fight-against-covid19
GILD,the-fight-against-covid19
REGN,the-fight-against-covid19
GSK,the-fight-against-covid19
TAK,the-fight-against-covid19
MRNA,the-fight-against-covid19
BNTX,the-fight-against-covid19
VIR,the-fight-against-covid19
NVAX,the-fight-against-covid19
INO,the-fight-against-covid19
S,growth_technology_stocks
C,growth_technology_stocks
U,growth_technology_stocks
LS,growth_technology_stocks
SN,growth_technology_stocks
DLO,growth_technology_stocks
JKS,growth_technology_stocks
DO,growth_technology_stocks
NO,growth_technology_stocks
AS,growth_technology_stocks
ST,growth_technology_stocks
OU,growth_technology_stocks
FT,growth_technology_stocks
CS,growth_technology_stocks
AL,growth_technology_stocks
D,growth_technology_stocks
PC,growth_technology_stocks
AN,growth_technology_stocks
PA,growth_technology_stocks
AD,growth_technology_stocks
HU,growth_technology_stocks
BELFB,growth_technology_stocks
RE,growth_technology_stocks
GEN,growth_technology_stocks
BELFA,growth_technology_stocks
KINCX,mutualfunds
KINAX,mutualfunds
WWWFX,mutualfunds
BCSVX,mutualfunds
EAASX,mutualfunds
ERASX,mutualfunds
ERSMX,mutualfunds
APDGX,mutualfunds
BCSFX,mutualfunds
ESGNX,mutualfunds
AIGOX,mutualfunds
ARTGX,mutualfunds
ESGCX,mutualfunds
APHGX,mutualfunds
WAMFX,mutualfunds
BPAIX,mutualfunds
EICCX,mutualfunds
FTVAX,mutualfunds
FTVSX,mutualfunds
BTMFX,mutualfunds
FTVCX,mutualfunds
FTVNX,mutualfunds
FTVZX,mutualfunds
RMLPX,mutualfunds
FTHNX,mutualfunds
TS,auto_manufacturers
T,auto_manufacturers
F,auto_manufacturers
RA,auto_manufacturers
ST,auto_manufacturers
G,auto_manufacturers
HMC,auto_manufacturers
L,auto_manufacturers
NIO,auto_manufacturers
RI,auto_manufacturers
LC,auto_manufacturers
XP,auto_manufacturers
LV,auto_manufacturers
FSR,auto_manufacturers
MET,insurance_life
MET,insurance_life
MET,insurance_life
AFL,insurance_life
PUK,insurance_life
MFC,insurance_life
PRU,insurance_life
G,insurance_life
UNM,insurance_life
PRI,insurance_life
LNC,insurance_life
BHFAP,insurance_life
AEL,insurance_life
BHF,insurance_life
F,insurance_life
CNO,insurance_life
JXN,insurance_life
GNW,insurance_life
NW,insurance_life
BHFAO,insurance_life
AEL,insurance_life
BHFAM,insurance_life
MET,insurance_life
AEL,insurance_life
BHFAN,insurance_life
CV,most_shorted_stocks
BY,most_shorted_stocks
BIG,most_shorted_stocks
NV,most_shorted_stocks
LO,most_shorted_stocks
TR,most_shorted_stocks
ED,most_shorted_stocks
UP,most_shorted_stocks
FA,most_shorted_stocks
PL,most_shorted_stocks
A,most_shorted_stocks
AL,most_shorted_stocks
SLG,most_shorted_stocks
MV,most_shorted_stocks
SA,most_shorted_stocks
MA,most_shorted_stocks
TW,most_shorted_stocks
VT,most_shorted_stocks
HE,most_shorted_stocks
CU,most_shorted_stocks
WK,most_shorted_stocks
VU,most_shorted_stocks
PA,most_shorted_stocks
RAD,most_shorted_stocks
BL,most_shorted_stocks
SO,losers
CBT,losers
IAS,losers
PR,losers
PR,losers
AGL,losers
L,losers
NEX,losers
TKGBY,losers
JO,losers
RUM,losers
PT,losers
VK,losers
OLK,losers
TO,losers
PR,losers
Z,losers
AM,losers
SM,losers
EBR-B,losers
AS,losers
G,losers
IM,losers
KIGRY,losers
DO,losers
RTX,aerospace_defense
B,aerospace_defense
LMT,aerospace_defense
NOC,aerospace_defense
G,aerospace_defense
TDG,aerospace_defense
LHX,aerospace_defense
HEI-A,aerospace_defense
HEI,aerospace_defense
HWM,aerospace_defense
AX,aerospace_defense
TXT,aerospace_defense
ES,aerospace_defense
HII,aerospace_defense
WWD,aerospace_defense
CAE,aerospace_defense
C,aerospace_defense
BW,aerospace_defense
HXL,aerospace_defense
DRS,aerospace_defense
AJ,aerospace_defense
MOG-A,aerospace_defense
MOG-B,aerospace_defense
SPR,aerospace_defense
ERJ,aerospace_defense
NC,gainers
AB,gainers
SMSOF,gainers
CHFLF,gainers
ECX,gainers
EN,gainers
XNYIF,gainers
OCDGF,gainers
LTMAY,gainers
LINRF,gainers
YPF,gainers
OCDDY,gainers
BA,gainers
WZZZY,gainers
PAM,gainers
TGS,gainers
GLW,gainers
GG,gainers
MS,gainers
HCM,gainers
AM,gainers
SYM,gainers
SP,gainers
ST,gainers
BMA,gainers
